entity,target_lang,translation
Algeria,zh,阿爾及利亞
Algiers,zh,阿爾及爾
satay sauce,zh,satay sauce
Indonesian cuisine,zh,印尼料理
Chronicle of Flaming Years,zh,烽火連年
House of Wonders,zh,奇迹屋
Stone Town,zh,桑给巴尔石头城
Joan of Acre,zh,喬安
Royal Badge of Wales,zh,威爾士皇家徽章
Welsh,zh,威爾士語
Martyrs' Mausoleum,zh,昂山之墓
Myanmar,zh,緬甸
Overture,zh,Overture
French style,zh,French style
BWV 831,zh,BWV 831
Overture in the French style,zh,法國風序曲
French,zh,法语
Evangelical Lutheran Church of Saint Katarina,zh,信義宗聖卡特琳娜教堂
Saint Katarina,zh,Saint Katarina
Trumps of Doom,zh,Trumps of Doom
Dream Story,zh,綺夢春色
"Donald Flack, Jr.",zh,唐·弗拉克
Sandman,zh,睡魔
The Endless,zh,無盡
Symphony No. 8,zh,Symphony No. 8
A Haunting,zh,鬼影森森
Templul Coral,zh,布加勒斯特猶太會堂
Bucharest,zh,布加勒斯特
Lenny Yen,zh,顏毓麟
Lenny Yen Fame,zh,顏毓麟
Our Lady of Sorrows Basilica,zh,七苦圣母圣殿
Chicago,zh,芝加哥
Catholic,zh,天主教
The Air Seller,zh,賣空氣的人
Philippe,zh,菲利普
Duke of Orléans,zh,奥尔良公爵
Orléans,zh,奥尔良
Seven Saints Church,zh,七聖人教堂
Sofia,zh,索菲亞
A Vindication of the Rights of Woman,zh,女權辯護
Special Delivery,zh,Special Delivery
Frederick II of Zollern,zh,腓特烈二世
Zollern,zh,Zollern
Sviatopolk I,zh,恶棍斯维亚托波尔克
Little House on the Prairie,zh,大草地上的小家
Antoniev Monastery,zh,安东尼修道院
Gandersheim Abbey,zh,甘德斯海姆
Dominic Savio,zh,道明·沙維豪
Reformed Egyptian,zh,改良埃及文
The Dancing Girl of Izu,zh,伊豆的舞孃
Izu,zh,伊豆市
My Man Godfrey,zh,寶窗選婿
The Return of the King,zh,王者再臨
Averbode Abbey,zh,阿弗博德修道院
Grande-Sauve Abbey,zh,拉索沃马热尔修道院
Prüm Abbey,zh,普吕姆修道院
Artabanus II,zh,阿尔达班二世
Parthian Empire,zh,安息帝國
Ruwanweli Maha Saya,zh,魯萬韋利薩亞舍利塔
Giza Plateau,zh,吉薩高原
Contracts House,zh,契約屋
Wandering Sun,zh,飘泊的太阳
Athenians,zh,Athenians
serial port,zh,串行端口
Cave of Outlaws,zh,危岩喋血
Uncle Henry,zh,亨利叔叔
L. Frank Baum,zh,李曼·法蘭克·鮑姆
Oz-series,zh,Oz-series
The Communist Manifesto,zh,共产党宣言
starch,zh,starch
modified starch,zh,化製澱粉
Kursk State University,zh,库尔斯克国立大学
Chamber Music,zh,室内乐
League of Assassins,zh,刺客聯盟
Batman,zh,巴特曼省
Team X,zh,X小隊
Embassy of Argentina,zh,Embassy of Argentina
Argentina,zh,阿根廷
Choral Synagogue,zh,合唱猶太會堂 (布列斯特)
Drohobych,zh,德罗霍贝奇
Church of St Philibert,zh,聖菲爾貝德圖爾尼修道院
In the Deathroom,zh,死刑室
Deathroom,zh,Deathroom
A Gunfighter's Pledge,zh,誓言 (2008年電影)
The Princess and the Goblin,zh,公主與哥布林
The Prayer,zh,The Prayer
The Devil,zh,魔鬼
The Devil TV series,zh,The Devil TV series
Pushkin Museum of Fine Arts,zh,普希金造型藝術博物館
Doomsday Preppers,zh,末日生存者
The Sign of Four,zh,四签名
Grenada,zh,格瑞那達
Cathedral of St. John,zh,圣约翰座堂
Manitoba,zh,曼尼托巴省
Canada,zh,加拿大
celery salt,zh,芹盐
Perry the Platypus,zh,鸭嘴兽泰瑞
Symphony No. 10,zh,Symphony No. 10
Creature Commandos,zh,生物突擊隊
DC Universe,zh,偵探漫畫宇宙
The Snatch Thief,zh,失憶摩托車
curing salt,zh,醃製鹽
table salt,zh,食盐
Dharma Initiative,zh,達摩計劃
The Greek Tycoon,zh,希腊大亨
Violin Concerto No. 3,zh,B小调第三小提琴协奏曲
The Blood of Others,zh,他人的血
First Baptist Church,zh,First Baptist Church
America,zh,美國
Malmesbury Abbey,zh,馬姆斯伯里修道院
Malmesbury,zh,馬姆斯伯里
Bob,zh,鲍勃
Bob the Builder,zh,建築師阿博
Great Ten,zh,十豪侠
DC Comics Universe,zh,偵探漫畫宇宙
Harpist in the Wind,zh,风中竖琴手
Symphony of Psalms,zh,诗篇交响曲
ISO 80000-2,zh,ISO 80000-2
Minuscule 2: Mandibles,zh,微观小世界：来自远方的后援军
Far Away,zh,Far Away
Alejandro Saucedo,zh,雷西奧
"God Exists, Her Name Is Petrunija",zh,佩圖尼亞神加持
Petrunija,zh,Petrunija
Teona Strugar Mitevska,zh,特奥娜·斯特鲁加尔·米特威斯卡
2019,zh,2019年
Imperial Academy of Arts,zh,帝國藝術學院
Johann Leopold,zh,約翰·利奧波德 (薩克森-科堡-哥達王儲)
Saxe-Coburg and Gotha,zh,萨克森-科堡-哥达
Lubyanka Building,zh,卢比扬卡大楼
Water Temple,zh,水之神殿_(时之笛)
The Legend of Zelda: Ocarina of Time,zh,薩爾達傳說 時之笛
Leningrad,zh,聖彼得堡
Shostakovich,zh,德米特里·德米特里耶维奇·肖斯塔科维奇
Symphony No. 7,zh,第7號交響曲
Nazi,zh,纳粹党
1942,zh,1942年
Violin Concerto,zh,小提琴协奏曲
Guardians of the Galaxy,zh,銀河守護隊
Marvel Comics,zh,漫威漫畫
Trei Ierarhi Monastery,zh,圣三一修道院
Iași County,zh,雅西縣
Romania,zh,羅馬尼亞
Narkomfin,zh,納康芬大樓
Marine Air Terminal,zh,水上飛機客運大樓
National Register of Historic Places,zh,國家史蹟名錄
Venus in Furs,zh,Venus in Furs
The Lady in the Lake,zh,湖中的女人
Gregory of Tours,zh,都爾的額我略
Rescue at Midnight Castle,zh,午夜城堡搶救行動
Two Outs in the Ninth Inning,zh,9局下半2出局
South Korean,zh,韓國國家足球隊
My Daddy Long Legs,zh,長腿叔叔
Dharma Drum Mountain,zh,法鼓山
Chinese Buddhism,zh,汉传佛教
onion powder,zh,洋葱粉
fresh onions,zh,fresh onions
The World of Narue,zh,成惠的世界
Magical Project S,zh,魔法少女砂沙美
Jose M. Hernandez,zh,何塞·莫雷诺·埃尔南德斯
1957,zh,1957年
"Piano Sonata in F major, K. 547a",zh,F大调钢琴奏鸣曲
Piano Sonata in F major,zh,Piano Sonata in F major
K. 547a,zh,K. 547a
Margaret of Sicily,zh,西西里的瑪格麗塔
Thuringia,zh,圖林根州
Saxony,zh,萨克森自由州
Sicily,zh,西西里岛
Purple Eyes in the Dark,zh,魔影紫光
Singer House,zh,勝家公司樓
white chocolate,zh,白巧克力
milk chocolate,zh,牛奶巧克力
dark chocolate,zh,黑巧克力
blue cheese,zh,藍乾酪
Deep Ones,zh,Deep Ones
Deep One,zh,深潜者
Lovecraftian,zh,洛氏恐怖
Holy Wisdom,zh,聖智
Sichuan pepper,zh,四川花椒
Sichuan,zh,四川省
St. Cecilia Cathedral,zh,聖則濟利亞主教座堂
Omaha,zh,奥马哈
St. Cecilia,zh,聖則濟利亞
Dormition Cathedral,zh,圣母升天大教堂
Uncle Leo,zh,利奧叔叔
Seinfeld,zh,Seinfeld
White Knight,zh,White Knight
Lewis Carroll,zh,路易斯·卡羅
Through the Looking-Glass,zh,Through the Looking-Glass
The Millionaire Detective,zh,富豪刑事
Great Mosque of Xi'an,zh,西安清真大寺
Xi'an,zh,西安市
Ruyi Jingu Bang,zh,如意金箍棒
The Mirror,zh,每日镜报
Uppsala Cathedral,zh,乌普萨拉主教座堂
Siku Quanshu Zongmu Tiyao,zh,欽定四庫全書總目
Siku Quanshu,zh,四庫全書
A Thousand Splendid Suns,zh,灿烂千阳
St. Florian's Priory,zh,聖弗洛里安修道院
We Were There,zh,我們的存在
Boulevard Ring,zh,莫斯科林蔭環路
Tong Lai Kau,zh,唐麗球
disodium 5'-inosinate,zh,肌苷酸二纳
With Fire and Sword,zh,火與劍
Prince Charming,zh,基特王子
Shrek,zh,史瑞克
Shrek series,zh,Shrek series
Shrek movies,zh,Shrek movies
Battle of the Pelennor Fields,zh,帕蘭諾平原戰役
Pelennor Fields,zh,Pelennor Fields
Middle-earth,zh,中土大陸
olive oil,zh,橄欖油
The Thirteen Problems,zh,13個難題
Roly-Poly Pudding,zh,Roly-Poly Pudding
Soviet politics,zh,蘇聯政治
Wales,zh,威爾斯
Frederick II,zh,腓特烈二世
1990,zh,1990年
Magical Project,zh,魔法少女砂沙美
Auguste Rodin,zh,奥古斯特·罗丹
The Three Shades,zh,The Three Shades
Love Scenery,zh,良辰美景好时光
Night of the Kings,zh,国王之夜
Identifying Features,zh,下落
The Mole – Undercover,de,Der Maulwurf: Undercover in Nordkorea
North Korea,de,Nordkorea
Liebenzell Castle,de,Burg Liebenzell
Warning Sign,de,Warning Sign
boiled egg,de,gekochtes Ei
egg,de,Hoden
United States,de,Vereinigte Staaten
Griffin family,de,Familie Griffin
Griffin,de,Griffin
Christ on the Mount of Olives,de,Christus im Garten Gethsemane
Beethoven,de,Ludwig van Beethoven
Anxious People,de,Menschen in Angst
"Good Morning, Miss Dove",de,"Good Morning, Miss Dove"
The Lesson,de,Die Lehrstunde
The Lesson TV series,de,The Lesson TV series
duck egg,de,Entenei
chicken egg,de,Hühnerei
duck eggs,de,Entenei
duck,de,Ente
chicken,de,Huhn
Love Like The Galaxy,de,Xing han can lan
Till Marriage Do Us Part,de,Wie tief bin ich gesunken
DC Multiverse,de,DC Multiverse
Justice League,de,Gerechtigkeitsliga
ice cream cone,de,Eistüte
ice cream cones,de,Eistüte
All Your Faces,de,Je verrai toujours vos visages
The Mote in God's Eye,de,Der Splitter im Auge Gottes
The Wonderful World of Puss 'n Boots,de,Der gestiefelte Kater
1969,de,1969
Embracing Love,de,Haru o daiteita
Ministry of Truth,de,Ministerium für Wahrheit
Oceania,de,Ozeanien
Orpheus,de,Orpheus
Sonnets to Orpheus,de,Die Sonette an Orpheus
Tinker Tailor Soldier Spy,de,"Dame, König, As, Spion"
Into the Wild,de,Into the Wild
Donskoy Monastery,de,Donskoi-Kloster
Trinity Church,de,Trinity Church
Nikitniki,de,Nikitniki
The Man from U.N.C.L.E.,de,Solo für O.N.C.E.L.
Gorky Park,de,Gorky Park
In the House,de,Ein schrecklich nettes Haus
First Epistle of Peter,de,1. Petrus
Valley of the Wolves,de,Tal der Wölfe
Worzel Gummidge,de,"Wurzel, die Vogelscheuche"
Moscow,de,Moskau
Ipatiev House,de,Ipatjew-Haus
The Three Musketeers,de,The Three Musketeers
Ivangorod Fortress,de,Festung Iwangorod
Geographical Fugue,de,Fuge aus der Geographie
Stand on Zanzibar,de,Morgenwelt
Finger Snail,de,Fingerschnecke
Egypt,de,Ägypten
St Volodymyr's Cathedral,de,Wladimirkathedrale
Kyiv,de,Kiew
Mr. Rossi,de,Herr Rossi
Kazansky railway station,de,Moskau Kasaner Bahnhof
Son of Godzilla,de,Frankensteins Monster jagen Godzillas Sohn
Philip the Bold,de,Philipp II. der Kühne
Hours of Philip the Bold,de,Stundenbuch Philipps des Kühnen
Comic Book Guy,de,Jeff Albertson
The Book of the Courtier,de,Il Libro del Cortegiano
A Hatful of Rain,de,Giftiger Schnee
One in one!,de,Один в один
Russian,de,Russisch
Turkish,de,Türkisch
Do not worry for me,de,Benim İçin Üzülme
Father Brown,de,Father Brown
Berlin Cathedral,de,Berliner Dom
Great Synagogue,de,Hauptsynagoge
Czech Republic,de,Tschechien
Plzeň,de,Pilsen
Very Good Times,de,Cham Joheun Sijeol
South Korea,de,Südkorea
South Korean,de,südkoreanische Fußballnationalmannschaft
Mount Royal Cross,de,Mont-Royal-Kreuz
I Never Sang for My Father,de,Kein Lied für meinen Vater
Quality Time,de,Quality Time
Sakya Monastery,de,Sakya-Kloster
People's Republic of China,de,Volksrepublik China
Edward IV,de,Eduard IV.
England,de,England
Konstantin Pavlovich,de,Konstantin Pawlowitsch Romanow
Russia,de,Russland
American Gangster,de,American Gangster
Piano Concerto No. 1,de,1. Klavierkonzert
Symphony No. 1,de,Symphony No. 1
Mistborn: Shadows of Self,de,Schatten über Elantel
Monastery of Saint Naum,de,Kloster Sveti Naum
Marya Bolkonskaya,de,Marja Bolkonskaja
Andrei,de,Andrei
Dome of the Rock,de,Felsendom
"Dirty Mary, Crazy Larry",de,Kesse Mary – Irrer Larry
Dirty Mary,de,Kesse Mary – Irrer Larry
Crazy Larry,de,Crazy Larry
Platov South-Russian State Polytechnic University,de,Südrussische Staatliche Technische Universität
Romaine lettuce,de,Römersalat
The Holocaust Industry,de,Die Holocaustindustrie
Apocalypse of Pseudo-Methodius,de,Apokalypse des Pseudo-Methodius
Syriac,de,Syrisch
Pseudo-Methodius,de,Pseudo-Methodios
egg yolk,de,Dotter
egg yolks,de,egg yolks
Shrine of Bahá'u'lláh,de,Schrein Baha'ullahs
Everything I Never Told You,de,Was ich euch nicht erzählte
Celeste Ng,de,Celeste Ng
Piano Concerto No. 15,de,15. Klavierkonzert
Mozart,de,Wolfgang Amadeus Mozart
Cathedral of Ani,de,Kathedrale von Ani
Living Great Russian Language,de,Living Great Russian Language
Screw Style,de,Nejishiki
Prince Nicolas,de,Prince Nicolas
Ångermanland,de,Ångermanland
All Dogs Go to Heaven: The Series,de,Alle Hunde kommen in den Himmel
Time of Contempt,de,Die Zeit der Verachtung
Born Free,de,Born Free
Mar Mattai monastery,de,Mor-Mattai-Kloster
Guards! Guards!?,de,Guards! Guards!?
Guards!,de,Guards!
Rochefort Abbey,de,Trappistenabtei Rochefort
Book of One Thousand and One Nights,de,Book of One Thousand and One Nights
Aladdin,de,Aladdin
Wonderful Lamp,de,Aladin und die Wunderlampe
Aladdin and the Wonderful Lamp,de,Aladin und die Wunderlampe
Middle Eastern,de,Middle East respiratory syndrome
Symphony No. 2,de,2. Sinfonie
Tatort: Burned,de,Tatort: Verbrannt
coconut oil,de,Kokosöl
Legend of Zelda,de,The Legend of Zelda
The Legend of Zelda,de,The Legend of Zelda
Liege,de,Lüttich
Symphony No. 3,de,3. Sinfonie
Cascina,de,Cascina
Michelangelo,de,Michelangelo
Battle of Cascina,de,Schlacht bei Cascina
Anne Rice,de,Anne Rice
The Witching Hour,de,The Witching Hour
Symphony No. 36,de,36. Sinfonie
Mezhyhirya Monastery,de,Kloster Meschyhirja
Joan I of Navarre,de,Johanna I.
Navarre,de,Navarra
4 Maccabees,de,4. Buch der Makkabäer
globe artichoke,de,Artischocke
globe artichokes,de,globe artichokes
Anton Bruckner,de,Anton Bruckner
Symphony No. 4,de,Symphonie Nr. 4
Pyotr Ilyich Tchaikovsky,de,Pjotr Iljitsch Tschaikowski
Carry On Nurse,de,41 Grad Liebe
Wat Sam Phran,de,Wat Samphran
The Wealth of Nations,de,Der Wohlstand der Nationen
Fawzia Fuad,de,Fausia von Ägypten
Chief Seamus O'Hara,de,Albert Hunter
The Last Wish,de,Der letzte Wunsch
Adelaide of Normandy,de,Adelaide von Normandie
Adelaide,de,Adelaide
Normandy,de,Normandie
Hecataeus,de,Hekataios von Milet
Miletus,de,Miletus
Hecataeus of Miletus,de,Hekataios von Milet
Bradford Cathedral,de,Kathedrale von Bradford
West Yorkshire,de,West Yorkshire
Symphony No. 6,de,6. Sinfonie
Bleeding Gums Murphy,de,Zahnfleischbluter Murphy
The Simpsons,de,Die Simpsons
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,de,"Wir möchten Ihnen mitteilen, daß wir morgen mit unseren Familien umgebracht werden"
Andechs Abbey,de,Benediktinerabtei Andechs
Church of St. Martin the Confessor,de,St. Martin der Bekenner
Symphony No. 7,de,7. Sinfonie
Bruckner,de,Bruckner
String Quartet No. 3,de,3. Streichquartett
Spacing Guild,de,Raumgilde
Dune,de,Wüstenplanet
Dune universe,de,Dune-Universum
The Scarlet Plague,de,Die Scharlachpest
Vyborg,de,Wyborg
The Hand of Oberon,de,The Hand of Oberon
White Army,de,Weiße Bewegung
Black Baron,de,Black Baron
Twice in a Lifetime,de,Zweimal im Leben
Time to Live,de,Plötzliches Verlangen
Time to Die,de,Zeit zu sterben
Parnassus,de,Parnass
The Parnassus,de,Der Parnaß
Pennies from Heaven,de,Tanz in den Wolken
Jerónimos Monastery,de,Mosteiro dos Jerónimos
Lisbon District,de,Lisbon District
Snow White and the Seven Dwarfs,de,Schneewittchen und die sieben Zwerge
Disney,de,The Walt Disney Company
Snow White,de,Schneewittchen
Quba Mosque,de,Qubāʾ-Moschee
Ardèche,de,Ardèche
France,de,Frankreich
Our Lady of the Snows,de,Maria Schnee
Mont Sainte-Odile Abbey,de,Kloster Hohenburg
The Bugs Bunny/Road Runner Movie,de,"Bugs Bunnys wilde, verwegene Jagd"
Saint Sophia Cathedral,de,Sophienkathedrale
Novgorod,de,Weliki Nowgorod
Basilica of Our Lady of Guadalupe,de,Basilika Unserer Lieben Frau von Guadalupe
Mexican culture,de,Kultur (Mexiko)
Mass in B minor,de,h-Moll-Messe
John Malala,de,Johannes Malalas
John Malalas,de,Johannes Malalas
String Quartet No. 21,de,21. Streichquartett
Antoniev Monastery,de,Antoniuskloster
Slave Girl,de,Die falsche Sklavin
The Stationmaster,de,Der Postmeister
Warriors of Virtue,de,Die Krieger des Tao-Universums
black-eyed peas,de,Black Eyed Peas
cowpea,de,Augenbohne
cheese,de,Käse
Minuet in G major,de,Menuett G-Dur
Monastery of Saint-Paul-de-Mausole,de,Abtei Saint-Paul-de-Mausole
Saint-Paul-de-Mausole,de,Abtei Saint-Paul-de-Mausole
"Can You Whistle, Johanna",de,Opa gesucht!
Johanna,de,Johanna
Can You Whistle,de,Opa gesucht!
Prince Gustaf Adolf,de,Gustav Adolf Erbprinz von Schweden
Västerbotten,de,Västerbotten
Duke of Västerbotten,de,Duke of Västerbotten
Six Pieces for Piano,de,Six Pieces for Piano
Op. 118,de,Op. 118
Holy of Holies,de,Allerheiligstes
Violin Concerto,de,Violinkonzert
Tchaikovsky,de,Pjotr Iljitsch Tschaikowski
Ballad of the Little Soldier,de,Ballade vom kleinen Soldaten
Siena Cathedral Pulpit,de,"Kanzel in der Kathedrale, Siena"
Siena Cathedral,de,Dom von Siena
Uncle Henry,de,Onkel Henry
L. Frank Baum,de,Lyman Frank Baum
Oz-series,de,Oz-Serie
Acts of the Apostles,de,Apostelgeschichte
String Quartet No. 2,de,2. Streichquartett
Kurt Vonnegut,de,Kurt Vonnegut
Cat's Cradle,de,Cat's Cradle
Alexander Ostrovsky,de,Alexander Nikolajewitsch Ostrowski
"The Long Way to a Small, Angry Planet",de,"The Long Way to a Small, Angry Planet"
Izmaylovo Estate,de,Ismailowo
Marx-Engels-Lenin Institute,de,Institut für Marxismus-Leninismus beim ZK der KPdSU
Marxism,de,Marxismus
Soviet Union,de,Sowjetunion
The Silent Death,de,Der stumme Tod
Volker Kutscher,de,Volker Kutscher
Tam Sventon,de,Teffan Tiegelmann
Evagrius Ponticus,de,Euagrios Pontikos
The Trapp Family,de,Die Trapp-Familie
Gerald Bezhanov,de,Gerald Beschanow
The Most Charming and Attractive,de,Die Allerschönste
1985,de,1985
sockeye salmon,de,Rotlachs
Saint Nicholas Church,de,Saint Nicholas Church
Lipno Island,de,Lipno Island
Victorinus,de,Victorinus
Pettau,de,Ptuj
Christianity,de,Christentum
Winchester Cathedral,de,Kathedrale von Winchester
Rules of Acquisition,de,Profit oder Partner!
Ferengi Rule Book,de,Ferengi Rule Book
Behind the Beautiful Forevers,de,Annawadi oder Der Traum von einem anderen Leben
Belizean Creole,de,Belizean Creole
Belize,de,Belize
Belizean,de,Belizeana
Gone in 60 Seconds,de,Nur noch 60 Sekunden
Thimo,de,Thimo
Wettin,de,Wettin-Löbejün
Jesus,de,Jesus
Rebel Alliance,de,Rebellen-Allianz
Galactic Empire,de,Galactic Empire
Star Wars,de,Star Wars
Eyeless in Gaza,de,Eyeless in Gaza
fantasy maps,de,fantasy maps
fantasy map,de,Fantasiekarte
real-world map,de,real-world map
Silk Stockings,de,Seidenstrümpfe
Cathedral of Saint Demetrius,de,Demetrios-Kathedrale (Wladimir)
Roman Missal,de,Römische Messbuch
General Instruction,de,Allgemeine Einführung in das Römische Messbuch
Roman Rite,de,Römischer Ritus
My Lottery Dream Home,de,Jackpot! - Hauptpreis Traumhaus
Rudolph,de,Rudolph
Duke of Lorraine,de,Herzog von Lothringen
Scythian Suite,de,Skythische Suite
Motown Magic,de,Magie in Motown
Australian-American,de,Australian-American
Son of the Bride,de,Der Sohn der Braut
Death of the Virgin,de,Dormitio
Brockhaus and Efron,de,Brockhaus-Efron
Brockhaus,de,Brockhaus Enzyklopädie
Efron Encyclopedic Dictionary,de,Efron Encyclopedic Dictionary
Brockhaus and Efron Encyclopedic Dictionary,de,Brockhaus-Efron
Do Androids Dream of Electric Sheep?,de,Träumen Androiden von elektrischen Schafen?
Do Androids Dream of Electric Sheep,de,Träumen Androiden von elektrischen Schafen?
Ivor the Engine,de,Die kleine Lok Ivor
apple,de,Apple
apple sauce,de,Apfelmus
Theses on Feuerbach,de,Thesen über Feuerbach
Duke George,de,Georg I.
Oldenburg,de,Oldenburg
William,de,William
Jülich-Cleves-Berg,de,Vereinigte Herzogtümer Jülich-Kleve-Berg
Fairy Godmother,de,Die Gute Fee
Shrek,de,Shrek – Der tollkühne Held
The Rare Breed,de,Rancho River
Seven Dwarfs,de,Die sieben Zwerge
Muhammad Ali Mosque,de,Muhammad-Ali-Moschee
Trumpet Concerto,de,Trompetenkonzert
Arnold Schoenberg,de,Arnold Schönberg
A Survivor from Warsaw,de,Ein Überlebender aus Warschau
Violin Sonata No. 5,de,Violinsonate Nr. 5
"Lust, Caution",de,Gefahr und Begierde
Batu Caves,de,Batu-Höhlen
Malaysia,de,Malaysia
The Visit,de,Der Besuch der alten Dame
My Ghost Story,de,Übersinnliche Phänomene
Monument to the Battle of the Nations,de,Völkerschlachtdenkmal
Germany,de,Deutschland
Theodoros II Palaiologos,de,Theodor II.
Morea,de,Morea
Player's Handbook,de,Spielerhandbuch
Dungeons & Dragons,de,Dungeons & Dragons
D&D,de,Dungeons & Dragons
Theodotus,de,Theodotus
Byzantium,de,Byzantinisches Reich
Porterhouse Blue,de,Schwanenschmaus in Porterhouse
quail,de,Wachtel
quail meat,de,Wachtelfleisch
Songs Without Words,de,Lieder ohne Worte
The Busy World of Richard Scarry,de,Egons bunte Welt
Richard Scarry,de,Richard Scarry
Selling Hitler,de,Hitler zu verkaufen
Ring a Ring o' Roses,de,Ringelreihen
Ring,de,Ring
Asterix,de,Asterix
Switzerland,de,Schweiz
The Blue Lotus,de,Der Blaue Lotos
Somebody Up There Likes Me,de,Die Hölle ist in mir
The Book of Hours,de,Das Stunden-Buch
The Flight That Fought Back,de,Flug 93 – Angriff auf Amerika
The Trials of Life,de,Spiele des Lebens
Terra for Mars,de,Terra Formars
Terra,de,Terra
Without Consent,de,Without Consent
World War 1 in Colour,de,Der Erste Weltkrieg in Farbe
World War 1,de,Erster Weltkrieg
Diary of a Future President,de,Tagebuch einer zukünftigen Präsidentin
linseed oil,de,Leinöl
King Tut,de,Tutanchamun
The Curse of King Tut's Tomb,de,King Tut – Der Fluch des Pharao
Maiden's Tower,de,Leanderturm
Bosphorus,de,Bosporus
Burana Tower,de,Burana-Turm
Tinker Bell,de,Tinker Bell
text files,de,text files
computer files,de,computer files
text file,de,Textdatei
Dmitry Shcherbachev,de,Dmitri Grigorjewitsch Schtscherbatschow
The Tale of the Princess Kaguya,de,Die Legende der Prinzessin Kaguya
Japanese,de,Japanisch
Kamp Abbey,de,Kloster Kamp
The Ray Bradbury Theater,de,Bradburys Gruselkabinett
gluten-free,de,glutenfreie Diät
alphabet pasta,de,Buchstabennudeln
Yeni Eminönü Mosque,de,Neue Moschee
Lal Masjid,de,Rote Moschee
Pakistan,de,Pakistan
Discourses on Livy,de,Discorsi sopra la prima deca di Tito Livio
Pelennor Fields,de,Pelennor Felder
Battle of the Pelennor Fields,de,Schlacht auf dem Pelennor
Middle-earth,de,Mittelerde
computer,de,Computer
single-board computers,de,single-board computers
single-board computer,de,Einplatinencomputer
Prince George,de,Prince George
Yugoslavia,de,Sozialistische Föderative Republik Jugoslawien
Ursula K. Le Guin,de,Ursula K. Le Guin
City of Illusions,de,Stadt der Illusionen
Yogi Bear,de,Yogi Bear
Manuka honey,de,Manuka-Honig
pig,de,Hausschwein
pig jaws,de,pig jaws
Patriarch Ponds,de,Patriarchenteiche
Tarzan,de,Tarzan
Dead Mountain,de,Djatlow-Pass – Tod im Schnee
Pushkin House,ko,푸시킨 하우스
Helsinki Central Railway Station,ko,헬싱키 역
Helsinki,ko,헬싱키
Foundation,ko,재단법인
Earth,ko,지구
Risou no Musuko,ko,이상의 아들
Japan,ko,일본
Koutloumousiou monastery,ko,쿠틀루무시우 수도원
Greece,ko,그리스
Demon Lord Dante,ko,마왕 단테
Church of Saint Simeon Stylites,ko,성 시미언 교회
Saint Simeon Stylites,ko,성 시메온
Karma's World,ko,카르마의 세상
The Unbearable Lightness of Being,ko,The Unbearable Lightness of Being
Juice Ortiz,ko,주스 오티즈
Sons of Anarchy,ko,썬즈 오브 아나키
DIN,ko,독일 공업 규격 위원회
DIN connectors,ko,DIN connectors
Shallow Hal,ko,내겐 너무 가벼운 그녀
Heart of Gold,ko,Heart of Gold
Hanshan Temple,ko,한산사
Everything Calls for Salvation,ko,모두가 구원을 바란다
Italian,ko,이탈리아어
No Longer Human,ko,인간 실격
King Duosi,ko,타사대왕
Duosi,ko,타사대왕
Village of the Damned,ko,저주받은 도시
Okhotny Ryad,ko,오호트니 랴트역
The Hanging Tree,ko,교수목
Field of Mars,ko,Field of Mars
Russia,ko,러시아
Lost Horizon,ko,Lost Horizon
Temple of Literature,ko,문묘
Hanoi,ko,하노이
Hafez,ko,하피즈
Iranian,ko,페르시아어
Tomb of Hafez,ko,하페즈의 무덤
A Memory of Solferino,ko,솔페리노의 회상
New Testament,ko,신약성경
First Epistle to Timothy,ko,티모테오에게 보낸 첫째 서간
Walt Whitman,ko,월트 휘트먼
Leaves of Grass,ko,풀잎
The Irresponsible Captain Tylor,ko,무책임 함장 테일러
Rhapsody on a Theme of Paganini,ko,파가니니 주제에 의한 광시곡
Paganini,ko,Paganini
The Blade and Petal,ko,칼과 꽃
FMA,ko,Foundational Model of Anatomy
x86 processors,ko,x86 processors
x86,ko,x86
The Three Musketeers,ko,The Three Musketeers
The Pink Panther Show,ko,핑크 팬더
St Volodymyr's Cathedral,ko,성 볼로디미르 대성당
Kyiv,ko,키이우
Matteucci Medal,ko,마테우치 메달
Studenica monastery,ko,스투데니차 수도원
Serbia,ko,세르비아
Fountains of Rome,ko,로마의 분수
Ottorino Respighi,ko,오토리노 레스피기
Rome,ko,로마
Unix time,ko,유닉스 시간
Comic Book Guy,ko,코믹 북 가이
Petro Tchaikovsky National Music Academy of Ukraine,ko,키예프 음악원
Ukraine,ko,우크라이나
Petro Tchaikovsky National Music Academy,ko,키예프 음악원
Night on the Galactic Railroad,ko,Night on the Galactic Railroad
The Villain,ko,빌런
Yemelyan Pugachev,ko,예멜리얀 푸가초프
Berlin Cathedral,ko,베를린 돔
The Border,ko,The Border
Ang Shim Jung,ko,비밀기방 앙심정
Books of Chronicles,ko,역대기
Cello Concerto No. 1,ko,Cello Concerto No. 1
Joseph Haydn,ko,요제프 하이든
French,ko,프랑스어
The 400 Blows,ko,400번의 구타
1959,ko,1959년
François Truffaut,ko,프랑수아 트뤼포
Eleventh Mom,ko,열한번째 엄마
Piano Concerto No. 1,ko,피아노 협주곡 1번 (차이콥스키)
prawn crackers,ko,prawn crackers
medieval music,ko,중세의 서양 고전 음악
The Eye of Minds,ko,마음의 눈
Live by Night,ko,리브 바이 나이트
Symphony No. 10,ko,Symphony No. 10
